LABEL,time__sum_values,time__median,time__mean,time__length,time__standard_deviation,time__variance,time__root_mean_square,time__maximum,time__absolute_maximum,time__minimum,flux__sum_values,flux__median,flux__mean,flux__length,flux__standard_deviation,flux__variance,flux__root_mean_square,flux__maximum,flux__absolute_maximum,flux__minimum,flux_err__sum_values,flux_err__median,flux_err__mean,flux_err__length,flux_err__standard_deviation,flux_err__variance,flux_err__root_mean_square,flux_err__maximum,flux_err__absolute_maximum,flux_err__minimum,centroid_col__sum_values,centroid_col__median,centroid_col__mean,centroid_col__length,centroid_col__standard_deviation,centroid_col__variance,centroid_col__root_mean_square,centroid_col__maximum,centroid_col__absolute_maximum,centroid_col__minimum,centroid_row__sum_values,centroid_row__median,centroid_row__mean,centroid_row__length,centroid_row__standard_deviation,centroid_row__variance,centroid_row__root_mean_square,centroid_row__maximum,centroid_row__absolute_maximum,centroid_row__minimum,cadenceno__sum_values,cadenceno__median,cadenceno__mean,cadenceno__length,cadenceno__standard_deviation,cadenceno__variance,cadenceno__root_mean_square,cadenceno__maximum,cadenceno__absolute_maximum,cadenceno__minimum,quality__sum_values,quality__mean,quality__length,quality__standard_deviation,quality__variance,quality__root_mean_square,quality__maximum,quality__absolute_maximum
1,25030013.46,1367.052652,1367.760298,18300,8.119765616,65.93059366,1367.7844,1381.518594,1381.518594,1354.112851,289351489.8,15813.16797,15811.55682,18300,26.36431701,695.0772113,15811.5788,18015.45898,18015.45898,15690.2959,264055.8904,14.38623571,14.42928363,18300,0.093184275,0.008683309,14.42958452,14.7839098,14.7839098,14.33304787,23231935.22,1269.503857,1269.504657,18300,0.009922,9.84E-05,1269.504657,1269.561257,1269.561257,1269.4597,10094216.18,551.5990779,551.5965123,18300,0.036051099,0.001299682,551.5965135,551.7270725,551.7270725,551.4847817,1848593439,100506.5,101016.0349,18300,5846.190686,34177945.53,101185.0644,110922,110922,91190,528,0.028852459,18300,3.786550587,14.33796535,3.78666051,512,512
1,35342988.75,1883.691346,1884.155493,18758,8.010328603,64.16536433,1884.172521,1897.78499,1897.78499,1870.439093,1017347548,54312.59375,54235.39548,18758,426.6859165,182060.8713,54237.07388,54892.77734,54892.77734,53253.21875,488901.9832,26.08340645,26.06365195,18758,0.119375131,0.014250422,26.06392532,26.82079315,26.82079315,25.83916855,3321777.33,177.0858336,177.0859009,18758,0.010337634,0.000106867,177.0859012,177.1100531,177.1100531,177.0507031,6567507.421,350.1274064,350.1176789,18758,0.028988884,0.000840355,350.1176801,350.1860161,350.1860161,350.0276962,8869170992,472486.5,472820.7161,18758,5767.424041,33263180.06,472855.89,482634,482634,462945,1541632,82.1853076,18758,1638.185719,2683652.45,1640.24598,32768,32768
1,35342988.51,1883.691334,1884.155481,18758,8.010327982,64.16535438,1884.172509,1897.784977,1897.784977,1870.439082,909382672.7,48482.95898,48479.72453,18758,47.6901803,2274.353297,48479.74798,48694.35938,48694.35938,48068.15234,465002.5279,24.76083755,24.78955795,18758,0.096882985,0.009386313,24.78974726,25.57681847,25.57681847,24.66068649,3174682.661,169.2440454,169.2441977,18758,0.009963545,9.93E-05,169.244198,169.2675764,169.2675764,169.2101958,7360182.716,392.3857852,392.3756646,18758,0.02936249,0.000862156,392.3756657,392.4455719,392.4455719,392.2854978,8869170992,472486.5,472820.7161,18758,5767.424041,33263180.06,472855.89,482634,482634,462945,1542656,82.23989764,18758,1638.19151,2683671.424,1640.2545,32768,32768
1,35342983.49,1883.691064,1884.155213,18758,8.010334946,64.16546594,1884.172241,1897.784726,1897.784726,1870.438808,761952596.8,40638.1582,40620.14057,18758,96.64866859,9340.965141,40620.25555,40990.62891,40990.62891,39908.85156,430542.8185,22.92454433,22.95249059,18758,0.108735611,0.011823433,22.95274815,23.78315926,23.78315926,22.76303864,4746938.96,253.0617217,253.0621047,18758,0.009341228,8.73E-05,253.0621049,253.0830943,253.0830943,253.0307764,22970198.28,1224.560944,1224.554765,18758,0.019981477,0.000399259,1224.554765,1224.619279,1224.619279,1224.485969,8869170992,472486.5,472820.7161,18758,5767.424041,33263180.06,472855.89,482634,482634,462945,1543168,82.26719266,18758,1638.194405,2683680.909,1640.25876,32768,32768
1,31262040.29,1696.343802,1696.810697,18424,7.894318648,62.32026692,1696.829061,1710.203947,1710.203947,1683.354457,8475577362,460217.4531,460029.1664,18424,761.0339616,579172.6907,460029.7959,461529.4063,461529.4063,457177.5,1342942.367,72.89711761,72.89092308,18424,0.064034393,0.004100403,72.89095121,73.04156494,73.04156494,72.61502838,3508067.349,190.4077308,190.4074766,18424,0.006686638,4.47E-05,190.4074767,190.4379414,190.4379414,190.3812626,5949006.281,322.8944086,322.8943922,18424,0.0151878,0.000230669,322.8943925,322.9503698,322.9503698,322.8412946,6226126923,337599.5,337935.6775,18424,5684.017755,32308057.84,337983.4762,347579,347579,328247,2560,0.138949197,18424,8.433426459,71.12268183,8.434571045,512,512
1,31262026.22,1696.34301,1696.809934,18424,7.894623076,62.32507351,1696.828299,1710.203708,1710.203708,1683.353187,292106625.1,15854.70898,15854.68004,18424,20.52221957,421.1614962,15854.69333,15934.35352,15934.35352,15743.11914,369941.408,20.06020069,20.07932088,18424,0.102694668,0.010546195,20.0795835,20.47172928,20.47172928,19.86260223,37835859.25,2053.617718,2053.618066,18424,0.010322993,0.000106564,2053.618066,2053.649174,2053.649174,2053.589342,31434578.71,1706.174492,1706.17557,18424,0.008170752,6.68E-05,1706.17557,1706.207507,1706.207507,1706.148138,6226126923,337599.5,337935.6775,18424,5684.017755,32308057.84,337983.4762,347579,347579,328247,0,0,18424,0,0,0,0,0
1,31261975.46,1696.340239,1696.807179,18424,7.894405424,62.32163699,1696.825543,1710.200628,1710.200628,1683.350844,1658531252,90039.57813,90020.15044,18424,163.4375471,26711.83181,90020.29881,90477.28125,90477.28125,89394.55469,620423.8398,33.40264893,33.67476334,18424,0.628095272,0.394503671,33.68062039,36.24966812,36.24966812,33.06118011,15084901.38,818.7636692,818.7636442,18424,0.003454545,1.19E-05,818.7636442,818.7953721,818.7953721,818.7351396,29073872.51,1578.039067,1578.043449,18424,0.019231271,0.000369842,1578.043449,1578.087429,1578.087429,1577.992979,6226126923,337599.5,337935.6775,18424,5684.017755,32308057.84,337983.4762,347579,347579,328247,43191296,2344.295267,18424,8444.925617,71316768.68,8764.273443,32768,32768
1,29275039.86,1750.345558,1751.004238,16719,7.318612274,53.56208562,1751.019533,1763.321994,1763.321994,1738.655125,140744837.4,8417.838867,8418.256918,16719,53.55410708,2868.042385,8418.427263,8578.022461,8578.022461,8131.248047,205960.7317,12.11655998,12.31896236,16719,0.496314342,0.246327926,12.32895622,14.34099483,14.34099483,11.93480301,16752309.5,1001.991542,1001.992314,16719,0.008265445,6.83E-05,1001.992314,1002.022821,1002.022821,1001.952206,354962.8608,21.22881828,21.23110598,16719,0.024387908,0.00059477,21.23111998,21.27954501,21.27954501,21.16759734,6302281589,376479,376953.2621,16719,5269.356868,27766121.81,376990.09,385822,385822,368062,9818112,587.2427777,16719,2919.403464,8522916.588,2977.880231,32768,32768
1,30606528.09,1723.844315,1724.408591,17749,7.694307957,59.20237493,1724.425757,1737.413718,1737.413718,1711.369155,333078341.2,18769.63477,18766.03421,17749,41.45437464,1718.465177,18766.07999,18869.7168,18869.7168,18395.24805,307269.1085,16.61374855,17.31191101,17749,1.439927837,2.073392174,17.37169119,22.59492111,22.59492111,16.20850372,11031768.05,621.5422624,621.5430759,17749,0.01657857,0.000274849,621.5430761,621.6019098,621.6019098,621.5056115,15172464.81,854.8558331,854.8349097,17749,0.041658888,0.001735463,854.8349107,854.9128968,854.9128968,854.751666,6350650908,357397,357803.3077,17749,5539.876394,30690230.46,357846.1921,367167,367167,348415,29667328,1671.492929,17749,4878.206385,23796897.53,5156.625461,32768,32768
1,31261985.21,1696.340769,1696.807708,18424,7.894484687,62.32288848,1696.826073,1710.201283,1710.201283,1683.35123,403394807.2,21895.40723,21895.07204,18424,23.52312177,553.3372576,21895.08468,22023.76172,22023.76172,21745.01563,324915.8605,17.58637047,17.63546789,18424,0.199647476,0.039859115,17.63659794,18.2170372,18.2170372,17.26277733,3303502.316,179.3042527,179.3042942,18424,0.003113036,9.69E-06,179.3042942,179.3287334,179.3287334,179.2778019,28867192.12,1566.830203,1566.825451,18424,0.017989231,0.000323612,1566.825452,1566.872746,1566.872746,1566.785624,6226126923,337599.5,337935.6775,18424,5684.017755,32308057.84,337983.4762,347579,347579,328247,1536,0.083369518,18424,6.532858697,42.67824275,6.533390638,512,512
