,Star_ID,time__sum_values,time__median,time__mean,time__length,time__standard_deviation,time__variance,time__root_mean_square,time__maximum,time__absolute_maximum,time__minimum,flux__sum_values,flux__median,flux__mean,flux__length,flux__standard_deviation,flux__variance,flux__root_mean_square,flux__maximum,flux__absolute_maximum,flux__minimum,flux_err__sum_values,flux_err__median,flux_err__mean,flux_err__length,flux_err__standard_deviation,flux_err__variance,flux_err__root_mean_square,flux_err__maximum,flux_err__absolute_maximum,flux_err__minimum,centroid_col__sum_values,centroid_col__median,centroid_col__mean,centroid_col__length,centroid_col__standard_deviation,centroid_col__variance,centroid_col__root_mean_square,centroid_col__maximum,centroid_col__absolute_maximum,centroid_col__minimum,centroid_row__sum_values,centroid_row__median,centroid_row__mean,centroid_row__length,centroid_row__standard_deviation,centroid_row__variance,centroid_row__root_mean_square,centroid_row__maximum,centroid_row__absolute_maximum,centroid_row__minimum,cadenceno__sum_values,cadenceno__median,cadenceno__mean,cadenceno__length,cadenceno__standard_deviation,cadenceno__variance,cadenceno__root_mean_square,cadenceno__maximum,cadenceno__absolute_maximum,cadenceno__minimum,quality__sum_values,quality__median,quality__mean,quality__length,quality__standard_deviation,quality__variance,quality__root_mean_square,quality__maximum,quality__absolute_maximum,quality__minimum,Boolean
1,TIC 120247528,32431203.45,1668.639221,1668.185971,19441,8.369441148,70.04754513,1668.206966,1682.361217,1682.361217,1653.925298,59186148.72,3044.783203,3044.39837,19441,17.39971497,302.7500811,3044.448092,4549.623047,4549.623047,2993.770996,139962.8179,7.158686638,7.199363092,19441,0.227133816,0.05158977,7.202945141,7.901741505,7.901741505,6.897247314,12435558.5,639.6544641,639.6563193,19441,0.014042627,0.000197195,639.6563194,639.7327373,639.7327373,639.6082739,18808110.36,967.4323013,967.4456231,19441,0.029535339,0.000872336,967.4456235,967.515775,967.515775,967.3718264,6169070511,317649,317322.6949,19441,6026.038401,36313138.81,317379.9077,327529,327529,307055,18154016,0,933.8005247,19441,2603.362203,6777494.759,2765.769003,8192,8192,0,0
1,TIC 140830390,29290724.55,1611.001369,1610.530849,18187,7.94691204,63.15341098,1610.550455,1623.891809,1623.891809,1596.77757,61217164.87,3370.115723,3365.984762,18187,42.17125226,1778.414517,3366.248926,3535.689941,3535.689941,3247.283203,140696.999,6.989047527,7.736130149,18187,1.967241786,3.870040246,7.982339878,20.31653404,20.31653404,6.865911961,14807721.57,814.1954302,814.1926412,18187,0.010864273,0.000118032,814.1926412,814.2331727,814.2331727,814.161637,31820122.47,1749.609938,1749.608097,18187,0.015702905,0.000246581,1749.608097,1749.646943,1749.646943,1749.553849,5016233378,276153,275814.2287,18187,5721.702555,32737880.13,275873.5701,285434,285434,265912,69083136,0,3798.48991,18187,5240.721468,27465161.51,6472.533284,12288,12288,0,0
1,TIC 327301957,32431181.83,1668.638102,1668.184858,19441,8.369562274,70.04957266,1668.205854,1682.360327,1682.360327,1653.923998,163200421.8,8393.594727,8394.651604,19441,88.29823662,7796.578591,8395.115969,18766.62305,18766.62305,8323.107422,234892.4685,11.93217754,12.08232439,19441,0.878046206,0.77096514,12.11418705,14.79776192,14.79776192,11.04109573,15967472.72,821.3290419,821.3298039,19441,0.006383246,4.07458E-05,821.3298039,821.3596718,821.3596718,821.2020323,8952089.516,460.4826172,460.4747449,19441,0.017196944,0.000295735,460.4747452,460.7213479,460.7213479,460.4190654,6169070511,317649,317322.6949,19441,6026.038401,36313138.81,317379.9077,327529,327529,307055,24224304,0,1246.042076,19441,3391.798498,11504297.05,3613.435748,12288,12288,0,0
1,TIC 360742636,32431205.5,1668.639335,1668.186076,19441,8.369557662,70.04949545,1668.207071,1682.361517,1682.361517,1653.925204,87967100.96,4526.893066,4524.823875,19441,79.86145208,6377.851529,4525.528583,15079.02441,15079.02441,4413.219238,169388.4579,8.655913353,8.712949842,19441,0.313094242,0.098028004,8.718573447,13.18342209,13.18342209,8.320610046,26838148.55,1380.493326,1380.492184,19441,0.006343031,4.0234E-05,1380.492184,1380.513133,1380.513133,1380.46162,12138619.78,624.3711382,624.3824795,19441,0.031041985,0.000963605,624.3824803,624.466485,624.466485,624.3129164,6169070511,317649,317322.6949,19441,6026.038401,36313138.81,317379.9077,327529,327529,307055,19497504,0,1002.906435,19441,2838.828262,8058945.903,3010.775186,12288,12288,0,0
1,NGTS-11,1228569.712,1396.755885,1396.101945,880,6.052024583,36.62700155,1396.115063,1406.203773,1406.203773,1385.974493,2493607.885,2834.356567,2833.645324,880,10.48282401,109.8895993,2833.664714,2852.392578,2852.392578,2799.238281,1525.258952,1.711962938,1.733248809,880,0.082006984,0.006725145,1.735187764,2.151280642,2.151280642,1.703734279,706554.39,802.9083123,802.9027159,880,0.006789876,4.61024E-05,802.902716,802.9116411,802.9116411,802.8939868,1161829.384,1320.25409,1320.260664,880,0.028513381,0.000813013,1320.260664,1320.310302,1320.310302,1320.213891,7122819,8125.5,8094.1125,880,290.4953995,84387.57712,8099.323721,8579,8579,7608,221184,0,251.3454545,880,983.0241321,966336.4443,1014.648206,4096,4096,0,1
1,HD 221416,25030025.66,1367.053331,1367.760965,18300,8.11971153,65.92971534,1367.785066,1381.51916,1381.51916,1354.113598,3247072601,177420.625,177435.6613,18300,117.7850579,13873.31986,177435.7004,178021.7813,178021.7813,177067.0469,826199.4876,45.13794136,45.14751299,18300,0.042604,0.001815101,45.14753309,45.36961365,45.36961365,45.07997131,35078299.07,1916.847565,1916.846944,18300,0.006855897,4.70033E-05,1916.846944,1916.892191,1916.892191,1916.77823,36030040.65,1968.861473,1968.85468,18300,0.056807994,0.003227148,1968.854681,1968.957999,1968.957999,1968.716602,1848593439,100506.5,101016.0349,18300,5846.190686,34177945.53,101185.0644,110922,110922,91190,2560,0,0.13989071,18300,8.461942703,71.6044743,8.463098943,512,512,0,1
1,HD 15337,18904326.36,1396.70425,1396.080523,13541,6.041218513,36.49632112,1396.093594,1406.218209,1406.218209,1385.940146,976306722.1,72104.30469,72100.04594,13541,45.2408231,2046.732075,72100.06014,72345.19531,72345.19531,71754.22656,397615.8119,29.2951622,29.36384402,13541,0.274167531,0.075167835,29.36512394,30.94470787,30.94470787,29.22758293,7209685.079,532.4336641,532.4337256,13541,0.008097217,6.55649E-05,532.4337257,532.4642167,532.4642167,532.2304575,24340819.53,1797.56296,1797.564399,13541,0.015852799,0.000251311,1797.564399,1797.628697,1797.628697,1797.50431,1643971351,121856,121406.9383,13541,4349.614586,18919147.04,121484.8295,128706,128706,114106,16752640,0,1237.178938,13541,6235.018555,38875456.38,6356.57676,32768,32768,0,1
1,HD 15337,18904326.36,1396.70425,1396.080523,13541,6.041218513,36.49632112,1396.093594,1406.218209,1406.218209,1385.940146,976306722.1,72104.30469,72100.04594,13541,45.2408231,2046.732075,72100.06014,72345.19531,72345.19531,71754.22656,397615.8119,29.2951622,29.36384402,13541,0.274167531,0.075167835,29.36512394,30.94470787,30.94470787,29.22758293,7209685.079,532.4336641,532.4337256,13541,0.008097217,6.55649E-05,532.4337257,532.4642167,532.4642167,532.2304575,24340819.53,1797.56296,1797.564399,13541,0.015852799,0.000251311,1797.564399,1797.628697,1797.628697,1797.50431,1643971351,121856,121406.9383,13541,4349.614586,18919147.04,121484.8295,128706,128706,114106,16752640,0,1237.178938,13541,6235.018555,38875456.38,6356.57676,32768,32768,0,1
1,TOI-2202,34375104.79,2047.948202,2048.453894,16781,7.185309939,51.62867891,2048.466495,2060.642704,2060.642704,2036.280039,36955388.52,2201.614746,2202.216109,16781,13.33340242,177.77962,2202.256472,2245.055908,2245.055908,2144.737305,108788.3513,6.453671455,6.482828873,16781,0.292110145,0.085328337,6.489406639,7.063886166,7.063886166,6.027344227,12541172.03,747.3436489,747.343545,16781,0.00411418,1.69265E-05,747.343545,747.3665062,747.3665062,747.3305316,6217351.684,370.4984472,370.4994747,16781,0.007569822,5.73022E-05,370.4994747,370.5232759,370.5232759,370.4759212,9919552849,590754,591118.1008,16781,5173.387747,26763940.78,591140.7387,599894,599894,582353,0,0,0,16781,0,0,0,0,0,0,1
1,HD 18599,25029964.82,1367.049961,1367.75764,18300,8.119811926,65.93134571,1367.781742,1381.516056,1381.516056,1354.110157,1489500161,81337.67188,81393.4514,18300,262.8207492,69074.74623,81393.87572,84015.73438,84015.73438,80887.86719,561300.5753,30.66004181,30.67216259,18300,0.058552867,0.003428438,30.67221847,30.85854721,30.85854721,30.5584774,24778344.53,1354.008009,1354.007898,18300,0.01104016,0.000121885,1354.007898,1354.045258,1354.045258,1353.954534,32899352.53,1797.779495,1797.778827,18300,0.022383804,0.000501035,1797.778827,1797.859619,1797.859619,1797.692198,1848593439,100506.5,101016.0349,18300,5846.190686,34177945.53,101185.0644,110922,110922,91190,1040,0,0.056830601,18300,5.353538721,28.66037684,5.353840356,512,512,0,1
